,Restaurant Name,URL,no of reviews
116,Drink Well,https://www.yelp.com/biz/drink-well-austin,(369 reviews)
117,De Nada Cantina,https://www.yelp.com/biz/de-nada-cantina-austin-2,(338 reviews)
118,Oakmont Food,https://www.yelp.com/biz/oakmont-food-austin-6,(245 reviews)
119,Mattie’s,https://www.yelp.com/biz/matties-austin-3,(355 reviews)
120,Abo Youssef Mediterraneann Halal,https://www.yelp.com/biz/abo-youssef-mediterraneann-halal-austin-7,(529 reviews)
121,Nori,https://www.yelp.com/biz/nori-austin,(144 reviews)
122,Dai Due,https://www.yelp.com/biz/dai-due-austin-5,(667 reviews)
123,Sushi Junai Omakase,https://www.yelp.com/biz/sushi-junai-omakase-austin-2,(299 reviews)
124,The Beer Plant,https://www.yelp.com/biz/the-beer-plant-austin,(608 reviews)
125,Texas State Capitol,https://www.yelp.com/biz/texas-state-capitol-austin,
126,Lutie’s Garden Restaurant,https://www.yelp.com/biz/lutie-s-garden-restaurant-austin,(163 reviews)
127,Micklethwait Craft Meats,https://www.yelp.com/biz/micklethwait-craft-meats-austin,"(1,060 reviews)"
128,Este,https://www.yelp.com/biz/este-austin-2,(169 reviews)
129,Balkan Cafe & Grill,https://www.yelp.com/biz/balkan-cafe-and-grill-austin,(346 reviews)
130,District Kitchen - Anderson Lane,https://www.yelp.com/biz/district-kitchen-anderson-lane-austin-4,(271 reviews)
131,Buenos Aires Café - Este,https://www.yelp.com/biz/buenos-aires-caf%C3%A9-este-austin-2,(783 reviews)
132,Tiny Boxwoods,https://www.yelp.com/biz/tiny-boxwoods-austin-3,(320 reviews)
133,Halal Bros,https://www.yelp.com/biz/halal-bros-austin-2,(683 reviews)
134,Ceviche7,https://www.yelp.com/biz/ceviche7-austin,(330 reviews)
135,Juliet Italian Kitchen,https://www.yelp.com/biz/juliet-italian-kitchen-austin-2,(874 reviews)
136,Lucky Robot,https://www.yelp.com/biz/lucky-robot-austin,"(1,386 reviews)"
137,Sugar Pine,https://www.yelp.com/biz/sugar-pine-austin,(371 reviews)
138,Il Brutto,https://www.yelp.com/biz/il-brutto-austin-2,(465 reviews)
139,Ichi-Umi Sushi & Ramen,https://www.yelp.com/biz/ichi-umi-sushi-and-ramen-austin,"(1,152 reviews)"
140,Roaring Fork,https://www.yelp.com/biz/roaring-fork-austin-3,"(1,361 reviews)"
141,Nido,https://www.yelp.com/biz/nido-austin,(142 reviews)
142,DeSano Pizzeria Napoletana,https://www.yelp.com/biz/desano-pizzeria-napoletana-austin-3,(987 reviews)
143,Truluck’s Ocean’s Finest Seafood & Crab,https://www.yelp.com/biz/trulucks-oceans-finest-seafood-and-crab-austin-7,(689 reviews)
144,Phoenician Resto Cafe,https://www.yelp.com/biz/phoenician-resto-cafe-austin,(385 reviews)
145,Better Half Coffee & Cocktails,https://www.yelp.com/biz/better-half-coffee-and-cocktails-austin,(502 reviews)
146,Péché,https://www.yelp.com/biz/p%C3%A9ch%C3%A9-austin-3,"(1,365 reviews)"
147,Tumble 22,https://www.yelp.com/biz/tumble-22-austin-3,(278 reviews)
148,Corinne Austin,https://www.yelp.com/biz/corinne-austin-austin-2,(295 reviews)
149,La Piscina,https://www.yelp.com/biz/la-piscina-austin,(107 reviews)
150,Turf N Surf Po’ Boy,https://www.yelp.com/biz/turf-n-surf-po-boy-austin-8,"(1,158 reviews)"
151,Pinthouse Pizza,https://www.yelp.com/biz/pinthouse-pizza-austin,"(1,266 reviews)"
152,Vespaio Ristorante,https://www.yelp.com/biz/vespaio-ristorante-austin-6,(703 reviews)
153,Ramen Tatsu-Ya,https://www.yelp.com/biz/ramen-tatsu-ya-austin,"(2,912 reviews)"
154,Higher Ground,https://www.yelp.com/biz/higher-ground-austin,(178 reviews)
155,Mour Cafe,https://www.yelp.com/biz/mour-cafe-austin-4,(349 reviews)
156,ALC Steaks,https://www.yelp.com/biz/alc-steaks-austin,(660 reviews)
157,Tiki Tatsu-Ya,https://www.yelp.com/biz/tiki-tatsu-ya-austin-2,(383 reviews)
158,Otoko,https://www.yelp.com/biz/otoko-austin,(137 reviews)
159,Via 313 Pizza,https://www.yelp.com/biz/via-313-pizza-austin-14,(884 reviews)
160,T-Loc’s Sonora Hot Dogs,https://www.yelp.com/biz/t-locs-sonora-hot-dogs-austin-4,(543 reviews)
161,Kismet Cafe,https://www.yelp.com/biz/kismet-cafe-austin-2,(420 reviews)
162,The Well,https://www.yelp.com/biz/the-well-austin-4,(271 reviews)
163,Uncle Nicky’s,https://www.yelp.com/biz/uncle-nickys-austin,(171 reviews)
164,SLAB BBQ & Beer,https://www.yelp.com/biz/slab-bbq-and-beer-austin,"(1,213 reviews)"
165,888 Pan Asian Restaurant,https://www.yelp.com/biz/888-pan-asian-restaurant-austin,"(2,035 reviews)"
166,Velvet Taco,https://www.yelp.com/biz/velvet-taco-austin-5,(500 reviews)
167,"Snooze, an A.M. Eatery",https://www.yelp.com/biz/snooze-an-a-m-eatery-austin-5,"(1,188 reviews)"
168,Olamaie,https://www.yelp.com/biz/olamaie-austin,(547 reviews)
169,Bikkle Jamaican Restaurant,https://www.yelp.com/biz/bikkle-jamaican-restaurant-austin-2,(150 reviews)
170,Vixen’s Wedding,https://www.yelp.com/biz/vixen-s-wedding-austin,(197 reviews)
171,Sawyer & Co,https://www.yelp.com/biz/sawyer-and-co-austin-2,(928 reviews)
172,Cabo Bob’s Burritos,https://www.yelp.com/biz/cabo-bobs-burritos-austin-2,(525 reviews)
173,Wax Myrtle’s,https://www.yelp.com/biz/wax-myrtles-austin,(172 reviews)
174,"Snooze, an A.M. Eatery",https://www.yelp.com/biz/snooze-an-a-m-eatery-austin-6,"(1,441 reviews)"
175,Black’s Barbecue Austin,https://www.yelp.com/biz/blacks-barbecue-austin-austin,(882 reviews)
176,Kalimotxo,https://www.yelp.com/biz/kalimotxo-austin,(94 reviews)
177,North Italia,https://www.yelp.com/biz/north-italia-austin,"(1,633 reviews)"
178,DipDipDip Tatsu-Ya,https://www.yelp.com/biz/dipdipdip-tatsu-ya-austin-6,(377 reviews)
179,Pueblo Viejo,https://www.yelp.com/biz/pueblo-viejo-austin,(626 reviews)
180,Lazarus Brewing,https://www.yelp.com/biz/lazarus-brewing-austin,(592 reviews)
181,Old Thousand,https://www.yelp.com/biz/old-thousand-austin,(470 reviews)
182,Ramen Tatsu-Ya,https://www.yelp.com/biz/ramen-tatsu-ya-austin-6,(707 reviews)
183,It’s Italian Cucina,https://www.yelp.com/biz/its-italian-cucina-austin,(322 reviews)
184,Drop Kick,https://www.yelp.com/biz/drop-kick-austin,(106 reviews)
185,The Driskill Bar,https://www.yelp.com/biz/the-driskill-bar-austin-2,(441 reviews)
186,Kerbey Lane Cafe - Central,https://www.yelp.com/biz/kerbey-lane-cafe-central-austin,"(1,450 reviews)"
187,Budare’s Venezuelan Food,https://www.yelp.com/biz/budares-venezuelan-food-austin,(136 reviews)
188,Tumble 22 Chicken Joint,https://www.yelp.com/biz/tumble-22-chicken-joint-austin,"(1,131 reviews)"
189,Apt 115,https://www.yelp.com/biz/apt-115-austin,(97 reviews)
190,KabobZi Mediterranean Grill,https://www.yelp.com/biz/kabobzi-mediterranean-grill-austin-2,(174 reviews)
191,BD Riley’s Irish Pub at Mueller,https://www.yelp.com/biz/bd-rileys-irish-pub-at-mueller-austin-8,(308 reviews)
192,Oseyo,https://www.yelp.com/biz/oseyo-austin,(415 reviews)
193,Lefty’s Brick Bar,https://www.yelp.com/biz/leftys-brick-bar-austin,(136 reviews)
194,Arturo’s Underground Cafe,https://www.yelp.com/biz/arturos-underground-cafe-austin-2,(816 reviews)
195,The Peacock,https://www.yelp.com/biz/the-peacock-austin-3,(267 reviews)
196,Tatsumi Sushi,https://www.yelp.com/biz/tatsumi-sushi-austin,(401 reviews)
197,Nixta Taqueria,https://www.yelp.com/biz/nixta-taqueria-austin-2,(313 reviews)
198,Pinthouse Pizza,https://www.yelp.com/biz/pinthouse-pizza-austin-2,(902 reviews)
199,Aviary Wine & Kitchen,https://www.yelp.com/biz/aviary-wine-and-kitchen-austin,(289 reviews)
200,Gabriela’s Downtown,https://www.yelp.com/biz/gabrielas-downtown-austin,(848 reviews)
201,Dean’s Italian Steakhouse - Austin,https://www.yelp.com/biz/deans-italian-steakhouse-austin-austin-4,(162 reviews)
202,Via 313 Pizza,https://www.yelp.com/biz/via-313-pizza-austin-13,"(1,031 reviews)"
203,Casa Colombia,https://www.yelp.com/biz/casa-colombia-austin-2,(455 reviews)
204,Bird Bird Biscuit,https://www.yelp.com/biz/bird-bird-biscuit-austin-3,(174 reviews)
205,Mi Madre’s Restaurant,https://www.yelp.com/biz/mi-madres-restaurant-austin-2,(742 reviews)
206,Simar Seafood & Steak,https://www.yelp.com/biz/simar-seafood-and-steak-austin-2,(196 reviews)
207,Parkside,https://www.yelp.com/biz/parkside-austin,"(1,032 reviews)"
208,Wink,https://www.yelp.com/biz/wink-austin,(836 reviews)
209,Pho Please,https://www.yelp.com/biz/pho-please-austin-3,"(1,163 reviews)"
210,Veracruz Fonda & Bar,https://www.yelp.com/biz/veracruz-fonda-and-bar-austin,(156 reviews)
211,Mozart’s Coffee Roasters,https://www.yelp.com/biz/mozarts-coffee-roasters-austin,"(1,841 reviews)"
212,Chago’s Caribbean Cuisine - Temp. CLOSED,https://www.yelp.com/biz/chagos-caribbean-cuisine-austin,(899 reviews)
213,DEE DEE,https://www.yelp.com/biz/dee-dee-austin-2,(446 reviews)
214,Licha’s Cantina,https://www.yelp.com/biz/lichas-cantina-austin,(766 reviews)
215,Jjim Korean Braised BBQ,https://www.yelp.com/biz/jjim-korean-braised-bbq-austin,(228 reviews)
216,Hi Wings,https://www.yelp.com/biz/hi-wings-austin,(326 reviews)
